"Soprano" "Alto" "Tenor" "Bass"
64	65	69	72
62	62	72	70
66	68	71	72
65	67	66	69
60	67	76	73
61	63	74	71
65	67	71	72
66	66	66	68
65	63	68	68
63	72	67	71
67	62	70	66
65	61	65	68
62	66	72	71
65	64	70	73
68	60	68	73
65	61	73	70
63	66	66	68
65	66	68	70
62	66	67	75
65	62	64	68
66	70	NA 	71
62	65	NA 	70
65	64	NA 	74
63	63	NA   	70
65	65	NA   	75
66	69	NA   	75
65	61	NA   	69
62	66	NA   	72
65	65	NA   	71
66	61	NA   	70
65	63	NA   	71
61	64	NA    	68
65	67	NA   	70
66	66	NA   	75
65	68	NA   	72
62	NA 	NA   	66
NA 	NA 	NA   	72
NA 	NA 	NA   	70
NA 	NA 	NA    	69

